#decomposeParDict,method,fvSolution,solveBatch,log,Build,Date,Time,nNodes,nProcs,CoMean,CoMax,UxInitRes,UxFinalRes,UxNoIter,UyInitRes,UyFinalRes,UyNoIter,UzInitRes,UzFinalRes,UzNoIter,p0InitRes,p0FinalRes,p0NoIter,p1InitRes,p1FinalRes,p1NoIter,contErrSumLocal0,contErrGlobal0,contErrCum0,contErrSumLocal1,contErrGlobal1,contErrCum1,Steps,ClockTimeFirstStep,ClockTimeNextToLastStep,ClockTimeLastStep,ExecutionTimeFirstStep,ExecutionTimeNextToLastStep,ExecutionTimeLastStep,ClockTimePerStepWOLastStep,ClockTimePerStep,ExecutionTimePerStepWOLastStep,ExecutionTimePerStep
mpi_00128-method_scotch,scotch,PCGCG-FDIC,n32-4.1IAR-system-Icc17_0_2_174-Opt-MPIMVAPICH2_2_2-a,log.pimpleFoam.No1,4.1IAR,Nov 22 2017,17:08:04,4,128,0.454204,0.458642,0.016723,9.33425e-06,2,0.13039,8.23847e-06,4,0.122592,3.97911e-06,4,0.990643,0.0475744,31,0.887703,9.99832e-07,630,9.48659e-10,-2.43152e-20,-3.63859e-19,2.40548e-14,-2.07016e-20,-3.8456e-19,10,25,148,164,22.46,144.8,160.87,15.375,15.4444,15.2925,15.3789
mpi_00128-method_scotch,scotch,PCGCG-FDIC,n32-4.1IAR-system-Icc17_0_4_196-Opt-INTELMPI2017_3_196-a,log.pimpleFoam.No1,4.1IAR,Nov 22 2017,17:11:55,4,128,0.454204,0.458642,0.016723,9.33425e-06,2,0.130394,8.23898e-06,4,0.122596,3.97947e-06,4,0.990643,0.0475743,31,0.887702,9.66295e-07,981,9.48659e-10,-2.43154e-20,-4.09032e-19,2.16533e-14,-2.05719e-20,-4.29604e-19,10,21,123,142,19.29,120.59,139.83,12.75,13.4444,12.6625,13.3933
mpi_00128-method_scotch,scotch,PCG-FDIC,n32-4.1IAR-system-Icc16_0_4_258-Opt-INTELMPI5_1_3_258-a,log.pimpleFoam.No1,4.1IAR,Nov 22 2017,08:39:19,4,128,0.454204,0.458642,0.016723,9.33425e-06,2,0.13039,8.23847e-06,4,0.122592,3.97911e-06,4,0.990643,0.0475744,31,0.887703,9.95654e-07,630,9.48659e-10,-2.16902e-20,-3.87875e-19,2.39612e-14,-2.84664e-20,-4.16341e-19,10,20,117,130,19.13,116.22,128.73,12.125,12.2222,12.1363,12.1778
mpi_00128-method_scotch,scotch,PCG-FDIC,n32-4.1IAR-system-Icc17_0_2_174-Opt-MPIMVAPICH2_2_2-a,log.pimpleFoam.No1,4.1IAR,Nov 22 2017,08:40:45,4,128,0.454204,0.458642,0.016723,9.33425e-06,2,0.13039,8.23847e-06,4,0.122592,3.97911e-06,4,0.990643,0.0475744,31,0.887703,9.70109e-07,981,9.48659e-10,-2.16596e-20,-3.77865e-19,2.17387e-14,-2.4132e-20,-4.01997e-19,10,23,139,162,21.35,136.98,159.56,14.5,15.4444,14.4537,15.3567
mpi_00128-method_scotch,scotch,PCG-FDIC,n32-4.1IAR-system-Icc17_0_4_196-Opt-INTELMPI2017_3_196-a,log.pimpleFoam.No1,4.1IAR,Nov 22 2017,08:41:06,4,128,0.454204,0.458642,0.016723,9.33425e-06,2,0.13039,8.23847e-06,4,0.122592,3.97911e-06,4,0.990643,0.0475744,31,0.887703,9.98612e-07,630,9.48659e-10,-2.75423e-20,-4.40413e-19,2.40275e-14,-2.53276e-20,-4.6574e-19,10,21,117,130,18.43,114.8,127.25,12,12.1111,12.0463,12.0911
mpi_00128-method_scotch,scotch,PPCG-FDIC,n32-4.1IAR-system-Icc16_0_4_258-Opt-INTELMPI5_1_3_258-a,log.pimpleFoam.No1,4.1IAR,Nov 22 2017,08:44:41,4,128,0.454204,0.458642,0.016723,9.33425e-06,2,0.13039,8.23847e-06,4,0.122592,3.97911e-06,4,0.990643,0.0475744,31,0.887703,9.66519e-07,981,9.48659e-10,-2.55781e-20,-4.33179e-19,2.18096e-14,-2.32977e-20,-4.56477e-19,10,25,143,166,23.47,142.01,164.66,14.75,15.6667,14.8175,15.6878
mpi_00128-method_scotch,scotch,PPCG-FDIC,n32-4.1IAR-system-Icc17_0_2_174-Opt-MPIMVAPICH2_2_2-a,log.pimpleFoam.No1,4.1IAR,Nov 22 2017,17:06:03,4,128,0.454204,0.458642,0.016723,9.33425e-06,2,0.13039,8.23847e-06,4,0.122592,3.97911e-06,4,0.990643,0.0475744,31,0.887703,9.9783e-07,630,9.48659e-10,-2.67192e-20,-3.65356e-19,2.401e-14,-2.93248e-20,-3.94681e-19,10,29,178,197,26.74,175.85,194.52,18.625,18.6667,18.6387,18.6422
mpi_00128-method_scotch,scotch,PPCG-FDIC,n32-4.1IAR-system-Icc17_0_2_174-Opt-MPIMVAPICH2_2_2-a,log.pimpleFoam.No2,4.1IAR,Nov 22 2017,17:29:43,4,128,0.454204,0.458642,0.016723,9.33425e-06,2,0.13039,8.23847e-06,4,0.122592,3.97911e-06,4,0.990643,0.0475744,31,0.887703,9.9783e-07,630,9.48659e-10,-2.67192e-20,-3.65356e-19,2.401e-14,-2.93248e-20,-3.94681e-19,10,30,176,194,27.14,172.97,191.61,18.25,18.2222,18.2287,18.2744
mpi_00128-method_scotch,scotch,PPCG-FDIC,n32-4.1IAR-system-Icc17_0_4_196-Opt-INTELMPI2017_3_196-a,log.pimpleFoam.No1,4.1IAR,Nov 22 2017,17:06:06,4,128,0.454204,0.458642,0.016723,9.33425e-06,2,0.13039,8.23847e-06,4,0.122592,3.97911e-06,4,0.990643,0.0475744,31,0.887703,9.75229e-07,981,9.48659e-10,-2.79383e-20,-3.77522e-19,2.20033e-14,-2.99039e-20,-4.07426e-19,10,25,143,166,23.02,140.93,163.48,14.75,15.6667,14.7388,15.6067
mpi_00128-method_scotch,scotch,PPCG-FDIC,n32-4.1IAR-system-Icc17_0_4_196-Opt-INTELMPI2017_3_196-a,log.pimpleFoam.No2,4.1IAR,Nov 22 2017,17:29:40,4,128,0.454204,0.458642,0.016723,9.33425e-06,2,0.13039,8.23847e-06,4,0.122592,3.97911e-06,4,0.990643,0.0475744,31,0.887703,9.75229e-07,981,9.48659e-10,-2.79383e-20,-3.77522e-19,2.20033e-14,-2.99039e-20,-4.07426e-19,10,25,143,165,22.64,140.75,163.31,14.75,15.5556,14.7637,15.63
