#decomposeParDict,method,fvSolution,solveBatch,log,Build,Date,Time,nNodes,nProcs,CoMean,CoMax,UxInitRes,UxFinalRes,UxNoIter,UyInitRes,UyFinalRes,UyNoIter,UzInitRes,UzFinalRes,UzNoIter,p0InitRes,p0FinalRes,p0NoIter,p1InitRes,p1FinalRes,p1NoIter,contErrSumLocal0,contErrGlobal0,contErrCum0,contErrSumLocal1,contErrGlobal1,contErrCum1,Steps,ClockTimeFirstStep,ClockTimeNextToLastStep,ClockTimeLastStep,ExecutionTimeFirstStep,ExecutionTimeNextToLastStep,ExecutionTimeLastStep,ClockTimePerStepWOLastStep,ClockTimePerStep,ExecutionTimePerStepWOLastStep,ExecutionTimePerStep
mpi_00128-method_scotch,scotch,PPCG-FDIC,n32-4.1IAR-system-Icc17_0_2_174-Opt-MPIMVAPICH2_2_2,log.pimpleFoam.No1,4.1IAR,Nov 20 2017,16:29:47,4,128,0.454204,0.458642,0.016723,9.33425e-06,2,0.13039,8.23847e-06,4,0.122592,3.97911e-06,4,0.990643,0.0475744,31,0.887703,9.9783e-07,630,9.48659e-10,-2.67192e-20,-3.65356e-19,2.401e-14,-2.93248e-20,-3.94681e-19,10,28,167,186,26.14,165.75,184.14,17.375,17.5556,17.4513,17.5556
mpi_00128-method_scotch,scotch,PPCG-FDIC,n32-4.1IAR-system-Icc17_0_4_196-Opt-INTELMPI2017_3_196,log.pimpleFoam.No1,4.1IAR,Nov 20 2017,17:01:20,4,128,0.454204,0.458802,0.016723,9.33426e-06,2,0.33849,7.96187e-06,4,0.347053,5.00351e-06,4,0.684331,0.0340114,15,0.540086,9.85779e-07,508,1.45096e-09,-4.84003e-20,-3.92968e-19,4.30109e-14,-4.15832e-20,-4.34551e-19,10,24,133,145,22.49,131.31,143.74,13.625,13.4444,13.6025,13.4722
mpi_00256-method_scotch,scotch,PCGCG-FDIC,n32-4.1IAR-system-Icc16_0_4_258-Opt-INTELMPI5_1_3_258,log.pimpleFoam.No1,4.1IAR,Nov 20 2017,17:05:22,8,256,0.454206,0.462603,0.0167236,8.36407e-07,3,0.114134,8.15447e-06,4,0.0777602,8.18116e-06,4,0.40921,0.0200887,44,0.0806152,9.73882e-07,1051,3.20371e-09,-2.1255e-20,-2.85382e-19,1.73179e-13,-2.80109e-20,-3.13393e-19,10,11,61,70,10.15,59.87,69.01,6.25,6.55556,6.215,6.54
mpi_00256-method_scotch,scotch,PCGCG-FDIC,n32-4.1IAR-system-Icc17_0_2_174-Opt-MPIMVAPICH2_2_2,log.pimpleFoam.No1,4.1IAR,Nov 20 2017,17:06:50,8,256,0.454204,0.458642,0.016723,8.3597e-07,3,0.12611,8.06582e-06,4,0.118764,3.7098e-06,4,0.748228,0.0339523,9,0.754187,9.9004e-07,445,4.76877e-11,-1.09693e-20,-2.56332e-19,1.54788e-15,-2.16296e-20,-2.77961e-19,10,13,54,59,11.5,52.25,57.46,5.125,5.11111,5.09375,5.10667
mpi_00256-method_scotch,scotch,PCGCG-FDIC,n32-4.1IAR-system-Icc17_0_4_196-Opt-INTELMPI2017_3_196,log.pimpleFoam.No1,4.1IAR,Nov 20 2017,17:07:01,8,256,0.454204,0.458642,0.016723,8.3597e-07,3,0.12611,8.06582e-06,4,0.118764,3.7098e-06,4,0.748228,0.0339523,9,0.754187,9.90619e-07,445,4.76877e-11,-1.95058e-20,-1.88059e-19,1.5487e-15,-1.31232e-20,-2.01182e-19,10,11,44,49,9.84,43.24,47.42,4.125,4.22222,4.175,4.17556
mpi_00256-method_scotch,scotch,PCG-FDIC,n32-4.1IAR-system-Icc16_0_4_258-Opt-INTELMPI5_1_3_258,log.pimpleFoam.No1,4.1IAR,Nov 20 2017,16:33:20,8,256,0.454205,0.460894,0.0167233,8.36142e-07,3,0.119417,7.16136e-06,4,0.0962803,6.28116e-06,4,0.582858,0.0269893,11,0.158361,9.91895e-07,1118,7.04023e-10,5.59236e-21,-1.48773e-19,1.71646e-14,-2.17937e-21,-1.50953e-19,10,10,55,63,9.32,53.92,62.4,5.625,5.88889,5.575,5.89778
mpi_00256-method_scotch,scotch,PCG-FDIC,n32-4.1IAR-system-Icc17_0_2_174-Opt-MPIMVAPICH2_2_2,log.pimpleFoam.No1,4.1IAR,Nov 20 2017,16:33:48,8,256,0.454204,0.458642,0.016723,8.3597e-07,3,0.12611,8.06582e-06,4,0.118764,3.7098e-06,4,0.748228,0.0339523,9,0.754187,9.90363e-07,445,4.76877e-11,-1.2756e-20,-1.4628e-19,1.54834e-15,-2.01314e-20,-1.66412e-19,10,13,51,56,10.79,48.84,53.58,4.75,4.77778,4.75625,4.75444
mpi_00256-method_scotch,scotch,PCG-FDIC,n32-4.1IAR-system-Icc17_0_4_196-Opt-INTELMPI2017_3_196,log.pimpleFoam.No1,4.1IAR,Nov 20 2017,16:34:38,8,256,0.454204,0.458642,0.016723,8.3597e-07,3,0.12611,8.06582e-06,4,0.118764,3.7098e-06,4,0.748228,0.0339523,9,0.754187,9.89279e-07,445,4.76877e-11,-1.95853e-20,-2.04298e-19,1.54679e-15,-1.33468e-20,-2.17645e-19,10,9,40,44,9.06,39.42,43.22,3.875,3.88889,3.795,3.79556
mpi_00256-method_scotch,scotch,PPCG-FDIC,n32-4.1IAR-system-Icc16_0_4_258-Opt-INTELMPI5_1_3_258,log.pimpleFoam.No1,4.1IAR,Nov 24 2017,16:26:02,8,256,0.454204,0.458642,0.016723,8.3597e-07,3,0.12611,8.06582e-06,4,0.118764,3.7098e-06,4,0.748228,0.0339523,9,0.754187,9.9076e-07,445,4.76877e-11,-1.75149e-20,-1.89726e-19,1.54891e-15,-1.61071e-20,-2.05833e-19,10,13,54,59,12.22,52.72,57.81,5.125,5.11111,5.0625,5.06556
mpi_00256-method_scotch,scotch,PPCG-FDIC,n32-4.1IAR-system-Icc17_0_2_174-Opt-MPIMVAPICH2_2_2,log.pimpleFoam.No1,4.1IAR,Nov 20 2017,17:04:42,8,256,0.454204,0.458642,0.016723,8.3597e-07,3,0.12611,8.06582e-06,4,0.118764,3.7098e-06,4,0.748228,0.0339523,9,0.754187,9.90714e-07,445,4.76877e-11,-1.22469e-20,-1.70048e-19,1.54884e-15,-1.44421e-20,-1.8449e-19,10,15,65,71,14.46,64.34,70.47,6.25,6.22222,6.235,6.22333
